Crop,Disease,Farmer_Symptoms,Technical_Symptoms,Treatment,Prevention,RecoveryTime,processed_symptoms
Almond,Leaf Spot,"Small spots on leaves, often brown or black on almond, visible to the farmer.","Leaf Spot affecting Almond. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Almond as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Almond,Powdery Mildew,"White powdery coating on leaf surfaces on almond, visible to the farmer.","Powdery Mildew affecting Almond. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Almond as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Almond,Rust,"Orange/brown pustules on leaves and stems on almond, visible to the farmer.","Rust affecting Almond. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Almond as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Almond,Root Rot,"Wilting and root decay, stunted growth on almond, visible to the farmer.","Root Rot affecting Almond. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Almond as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Almond,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on almond, visible to the farmer.","Bacterial Blight affecting Almond. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Almond as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Apricot,Leaf Spot,"Small spots on leaves, often brown or black on apricot, visible to the farmer.","Leaf Spot affecting Apricot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Leaf Spot on Apricot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Apricot,Powdery Mildew,"White powdery coating on leaf surfaces on apricot, visible to the farmer.","Powdery Mildew affecting Apricot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Powdery Mildew on Apricot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Apricot,Rust,"Orange/brown pustules on leaves and stems on apricot, visible to the farmer.","Rust affecting Apricot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Rust on Apricot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Apricot,Root Rot,"Wilting and root decay, stunted growth on apricot, visible to the farmer.","Root Rot affecting Apricot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Root Rot on Apricot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
Apricot,Bacterial Blight,"Water-soaked lesions, yellowing and wilting on apricot, visible to the farmer.","Bacterial Blight affecting Apricot. Detailed description: lesions, discoloration, yield loss depending on severity.",Apply appropriate chemical/biological control measures for Bacterial Blight on Apricot as per label instructions; consider cultural controls.,"Use clean planting material, rotate crops, maintain field sanitation, use resistant varieties if available.",Varies (7-30 days) depending on disease and treatment.,
