disease_name,normal_symptoms,alerting_symptoms,treatment,medicine,home_remedy,prevention,duration,is_danger
Ischemic Heart Disease,"Chest pain, shortness of breath, fatigue","Severe chest pain, nausea, sweating, dizziness","Lifestyle changes, surgery, angioplasty","Aspirin, statins, beta-blockers","Garlic, ginger, turmeric tea","Healthy diet, regular exercise, avoid smoking","Chronic, lifelong management",High risk of heart attack and death
Stroke,"Sudden numbness, confusion, trouble speaking","Sudden severe headache, loss of vision, difficulty walking","Clot-busting drugs, surgery, rehabilitation","Anticoagulants, antihypertensives","Ginger tea, turmeric milk","Control blood pressure, regular exercise, healthy diet","Acute, immediate treatment needed",High risk of disability or death
Chronic Obstructive Pulmonary Disease (COPD),"Chronic cough, shortness of breath, wheezing","Frequent respiratory infections, fatigue, swelling in ankles","Inhalers, oxygen therapy, pulmonary rehabilitation","Bronchodilators, corticosteroids","Steam inhalation, honey with warm water","Avoid smoking, avoid pollutants, regular exercise","Chronic, progressive",High risk of respiratory failure
Cancer,"Unexplained weight loss, fatigue, pain, skin changes","Persistent cough, unusual bleeding, lumps, difficulty swallowing","Surgery, chemotherapy, radiation therapy","Chemotherapeutic agents, pain relievers","Turmeric, green tea, garlic","Avoid tobacco, healthy diet, regular screenings","Varies by type, often chronic",High risk of death if untreated
Diabetes (Type 2),"Increased thirst, frequent urination, fatigue","Blurred vision, slow-healing sores, weight loss","Insulin therapy, oral medications, lifestyle changes","Metformin, sulfonylureas, insulin","Fenugreek water, bitter melon juice","Balanced diet, regular exercise, monitor blood sugar","Chronic, lifelong management","High risk of heart disease, kidney failure"
Tuberculosis,"Persistent cough, weight loss, night sweats","Coughing up blood, chest pain, fever",Antibiotic therapy,"Isoniazid, rifampicin, pyrazinamide","Garlic, ginger, honey","Avoid close contact with infected individuals, complete treatment course",6-9 months,High risk of spreading if untreated
Dengue,"High fever, severe headache, pain behind eyes","Severe abdominal pain, vomiting, bleeding gums","Supportive care, intravenous fluids","Paracetamol, antiemetics","Coconut water, papaya leaf juice","Avoid mosquito bites, eliminate standing water","Acute, 2-7 days",Can be fatal if complications arise
Malaria,"Fever, chills, sweating, headache","Anemia, jaundice, seizures",Antimalarial drugs,"Chloroquine, artemisinin-based combination therapies","Papaya leaf juice, ginger tea","Use insect repellent, sleep under mosquito nets","Acute, 7-10 days",Can be fatal if untreated
Hypertension,"Headache, shortness of breath, nosebleeds","Chest pain, vision problems, confusion","Antihypertensive medications, lifestyle changes","ACE inhibitors, beta-blockers, diuretics","Garlic, hibiscus tea, beetroot juice","Reduce salt intake, regular exercise, stress management","Chronic, lifelong management","High risk of heart disease, stroke"
HIV/AIDS,"Fever, swollen lymph nodes, weight loss","Chronic diarrhea, cough, opportunistic infections",Antiretroviral therapy,"Tenofovir, efavirenz, emtricitabine","Garlic, ginger, lemon water","Safe sex practices, regular testing, avoid sharing needles","Chronic, lifelong management",High risk of opportunistic infections and death
Hepatitis B,"Fatigue, jaundice, abdominal pain","Dark urine, clay-colored stools, joint pain","Antiviral medications, liver transplant","Tenofovir, entecavir","Milk thistle, dandelion root","Vaccination, avoid sharing needles, safe sex practices","Chronic, lifelong management",High risk of liver cirrhosis and cancer
Hepatitis C,"Fatigue, jaundice, abdominal pain","Dark urine, clay-colored stools, joint pain",Antiviral medications,"Sofosbuvir, ledipasvir","Milk thistle, dandelion root","Avoid sharing needles, safe sex practices","Chronic, lifelong management",High risk of liver cirrhosis and cancer
Chikungunya,"High fever, joint pain, rash","Severe joint swelling, headache, muscle pain","Supportive care, analgesics","Paracetamol, antiemetics","Coconut water, papaya leaf juice","Avoid mosquito bites, eliminate standing water","Acute, 2-7 days","Rarely fatal, but debilitating joint pain"
Japanese Encephalitis,"Fever, headache, vomiting","Seizures, confusion, loss of consciousness","Supportive care, antiviral medications",None specific,None proven,"Vaccination, mosquito control measures","Acute, 1-2 weeks",High risk of neurological damage and death
Scrub Typhus,"Fever, headache, rash, eschar at bite site","Organ failure, respiratory distress, confusion",Antibiotic therapy,"Doxycycline, azithromycin",None proven,"Avoid mite-infested areas, use insect repellents","Acute, 2-3 weeks",High risk of death if untreated
Leptospirosis,"Fever, headache, muscle pain, red eyes","Jaundice, kidney failure, meningitis",Antibiotic therapy,"Doxycycline, penicillin",None proven,"Avoid contact with contaminated water, use protective clothing","Acute, 1-2 weeks",High risk of organ failure and death
Zika Virus,"Fever, rash, joint pain, conjunctivitis","Microcephaly in newborns, Guillain-Barré syndrome","Supportive care, antiviral medications",None specific,None proven,"Avoid mosquito bites, safe sex practices","Acute, 2-7 days",High risk of birth defects in pregnant women
Typhoid Fever,"High fever, weakness, abdominal pain, constipation","Diarrhea, intestinal bleeding, confusion",Antibiotic therapy,"Ciprofloxacin, azithromycin",None proven,"Vaccination, safe drinking water, good sanitation","Acute, 1-3 weeks",High risk of intestinal perforation and death
Hantavirus,"Fever, fatigue, muscle aches, dizziness","Shortness of breath, cough, fluid in lungs","Supportive care, antiviral medications",None specific,None proven,"Avoid contact with rodent droppings, use protective measures","Acute, 1-2 weeks",High risk of respiratory failure
Melioidosis,"Fever, cough, chest pain, joint pain","Sepsis, pneumonia, organ failure",Antibiotic therapy,"Meropenem, ceftazidime",None proven,"Avoid contact with contaminated soil and water, use protective clothing","Chronic, lifelong management",High risk of death if untreated
COVID-19,"Fever, cough, fatigue, loss of taste or smell","Difficulty breathing, chest pain, confusion","Antiviral medications, supportive care","Remdesivir, dexamethasone",None proven,"Vaccination, mask-wearing, social distancing","Varies, acute to chronic",High risk of severe illness and death
